case,label,perturbed_state,multiplier,changed_state_count,nLi_mol,Cp_Ah,Cn_Ah,delta_SEI_m,delta_pl_m,relative_nLi,relative_Cp,relative_Cn,relative_delta_SEI,relative_delta_pl,color,marker,linestyle,initial_capacity_Ah,initial_resistance_Ohm,safe_last_cycle,safe_final_retention,simulation_seconds,maximum_scaled_initial_error,wall_seconds_in_wrapper
nominal,Nominal,none,1.0,0,0.1730196110765484,5.526933335243084,5.233807663519557,2.6546325004696767e-08,4.381526340964325e-08,0.0,0.0,0.0,0.0,0.0,#000000,o,-,4.45117330472183,0.0119650648374319,132,0.6073072838493807,106.8649888,1.6970024058982243e-16,
nLi_x0p95,$n_{\mathrm{Li}}\times0.95$,nLi,0.95,1,0.164368630522721,5.526933335243084,5.233807663519557,2.6546325004696767e-08,4.381526340964325e-08,-0.05,0.0,0.0,0.0,0.0,#0072B2,s,--,4.2200791769127735,0.0117785301212957,149,0.6018811625542163,109.05500319999999,1.6970024058982243e-16,
Cp_x0p90,$C_p\times0.9$,Cp,0.9,1,0.1730196110765484,4.974240001718775,5.233807663519557,2.6546325004696767e-08,4.381526340964325e-08,0.0,-0.0999999999999999,0.0,0.0,0.0,#D55E00,^,-.,4.356705938035811,0.0121760292311999,103,0.8015173816824177,114.5335096,8.020933419896866e-16,
Cn_x0p90,$C_n\times0.9$,Cn,0.9,1,0.1730196110765484,5.526933335243084,4.7104268971676015,2.6546325004696767e-08,4.381526340964325e-08,0.0,0.0,-0.0999999999999999,0.0,0.0,#009E73,v,:,4.430615962883861,0.0135372514592246,87,0.602661518340097,104.17822000000001,1.6970024058982243e-16,
plating_x2,$\delta_{\mathrm{plating}}\times2$,delta_pl,2.0,1,0.1730196110765484,5.526933335243084,5.233807663519557,2.6546325004696767e-08,8.76305268192865e-08,0.0,0.0,0.0,0.0,1.0,#CC79A7,D,-,4.451173304721828,0.0138999943086292,70,0.8033126510799785,140.2330745,8.020933419896866e-16,
plating_x0p5,$\delta_{\mathrm{plating}}\times0.5$,delta_pl,0.5,1,0.1730196110765484,5.526933335243084,5.233807663519557,2.6546325004696767e-08,2.1907631704821626e-08,0.0,0.0,0.0,0.0,-0.5,#56B4E9,P,--,4.451173304721826,0.0109976001018333,121,0.802280760757282,157.23891980000002,6.4167467359174965e-16,
SEI_x2,$\delta_{\mathrm{SEI}}\times2$,delta_SEI,2.0,1,0.1730196110765484,5.526933335243084,5.233807663519557,5.3092650009393534e-08,4.381526340964325e-08,0.0,0.0,0.0,1.0,0.0,#E69F00,X,-.,4.451173304721828,0.0131373792914919,135,0.604528007158837,99.74425030000009,1.6970024058982243e-16,
SEI_x0p5,$\delta_{\mathrm{SEI}}\times0.5$,delta_SEI,0.5,1,0.1730196110765484,5.526933335243084,5.233807663519557,1.3273162502348384e-08,4.381526340964325e-08,0.0,0.0,0.0,-0.5,0.0,#6A3D9A,*,:,4.451173304721826,0.0113789076104019,101,0.8012448053064773,144.65933779999995,8.020933419896866e-16,
SEI_x0p1,$\delta_{\mathrm{SEI}}\times0.1$,delta_SEI,0.1,1,0.1730196110765484,5.526933335243084,5.233807663519557,2.654632500469676e-09,4.381526340964325e-08,0.0,0.0,0.0,-0.9,0.0,#6A3D9A,*,:,4.451173304721826,0.0109099818287779,100,0.8030639019285745,233.7801602,6.416746735917496e-16,
Cp_x0p8,$C_p\times0.8$,Cp,0.8,1,0.1730196110765484,4.421546668194467,5.233807663519557,2.6546325004696767e-08,4.381526340964325e-08,0.0,-0.1999999999999999,0.0,0.0,0.0,#B2182B,<,--,3.882244603792998,0.0124342989774829,118,0.803388704797888,303.7339807,6.416746735917496e-16,
plating_x1p5,$\delta_{\mathrm{plating}}\times1.5$,delta_pl,1.5,1,0.1730196110765484,5.526933335243084,5.233807663519557,2.6546325004696767e-08,6.572289511446488e-08,0.0,0.0,0.0,0.0,0.5000000000000002,#882255,h,--,4.451173304721826,0.0129325295730306,109,0.6086799637140862,88.94241889999995,6.041223432624892e-16,
Cp_x0p85,$C_p\times0.85$,Cp,0.85,1,0.1730196110765484,4.697893334956621,5.233807663519557,2.6546325004696767e-08,4.381526340964325e-08,0.0,-0.15,0.0,0.0,0.0,#D55E00,>,--,4.124210073968379,0.0122982556897319,128,0.6028680860793738,104.72880000000004,6.416746735917496e-16,267.6507553
