metric,measurement_set,horizon_cycle,service_N,rank,value
sigma_min_W,Capacity,0.0,,1,0.0
condition_W,Capacity,0.0,,1,inf
sigma_min_W,Capacity,1.0,,2,4.140244083845768e-28
condition_W,Capacity,1.0,,2,inf
sigma_min_W,Capacity,2.0,,3,1.3250530457802582e-21
condition_W,Capacity,2.0,,3,inf
sigma_min_W,Capacity,3.0,,4,6.702959021384784e-21
condition_W,Capacity,3.0,,4,inf
sigma_min_W,Capacity,4.0,,5,3.9817742130762294e-14
condition_W,Capacity,4.0,,5,133374722030612.08
sigma_min_W,Capacity,5.0,,5,2.2971045216437088e-12
condition_W,Capacity,5.0,,5,2767533975086.5107
sigma_min_W,Capacity,6.0,,5,2.8306984591346875e-12
condition_W,Capacity,6.0,,5,2613779161522.694
sigma_min_W,Capacity,7.0,,5,5.18230044541627e-12
condition_W,Capacity,7.0,,5,1627672859341.7466
sigma_min_W,Capacity,8.0,,5,5.924121661858861e-12
condition_W,Capacity,8.0,,5,1597885351564.4624
sigma_min_W,Capacity,9.0,,5,2.4252396674969008e-11
condition_W,Capacity,9.0,,5,432599746073.24146
sigma_min_W,Capacity,10.0,,5,2.447442108751368e-11
condition_W,Capacity,10.0,,5,470345414772.55914
sigma_min_W,Capacity,11.0,,5,2.4633067739783662e-11
condition_W,Capacity,11.0,,5,508488150471.9684
sigma_min_W,Capacity,12.0,,5,2.4714998683151004e-11
condition_W,Capacity,12.0,,5,547615078711.4207
sigma_min_W,Capacity,13.0,,5,2.4832593363291725e-11
condition_W,Capacity,13.0,,5,585420634897.1693
sigma_min_W,Capacity,14.0,,5,2.484571985128073e-11
condition_W,Capacity,14.0,,5,625265826166.6763
sigma_min_W,Capacity,15.0,,5,2.555826029013742e-11
condition_W,Capacity,15.0,,5,646649300629.519
sigma_min_W,Capacity,16.0,,5,2.701549487240509e-11
condition_W,Capacity,16.0,,5,648280834015.9305
sigma_min_W,Capacity,17.0,,5,3.0701225115933865e-11
condition_W,Capacity,17.0,,5,602397045618.036
sigma_min_W,Capacity,18.0,,5,3.389711310944941e-11
condition_W,Capacity,18.0,,5,574364185250.7795
sigma_min_W,Capacity,19.0,,5,3.9030378012534764e-11
condition_W,Capacity,19.0,,5,523655489814.5021
sigma_min_W,Capacity,20.0,,5,4.01065912560112e-11
condition_W,Capacity,20.0,,5,533623888706.17993
sigma_min_W,Capacity,21.0,,5,4.0625036328379675e-11
condition_W,Capacity,21.0,,5,550383083659.9769
sigma_min_W,Capacity,22.0,,5,4.106823186278592e-11
condition_W,Capacity,22.0,,5,567614341974.8171
sigma_min_W,Capacity,23.0,,5,4.145954858455023e-11
condition_W,Capacity,23.0,,5,585065861623.1511
sigma_min_W,Capacity,24.0,,5,4.403593628445396e-11
condition_W,Capacity,24.0,,5,572175148653.6295
sigma_min_W,Capacity,25.0,,5,8.603616681350025e-10
condition_W,Capacity,25.0,,5,30370665645.67493
sigma_min_W,Capacity,26.0,,5,1.1542606809705087e-09
condition_W,Capacity,26.0,,5,23440833540.896152
sigma_min_W,Capacity,27.0,,5,1.1543521835789223e-09
condition_W,Capacity,27.0,,5,24236590579.790775
sigma_min_W,Capacity,28.0,,5,1.1894058693374884e-09
condition_W,Capacity,28.0,,5,24291084785.252747
sigma_min_W,Capacity,29.0,,5,1.2750735108391697e-09
condition_W,Capacity,29.0,,5,23371314722.85822
sigma_min_W,Capacity,30.0,,5,1.4125237257933472e-09
condition_W,Capacity,30.0,,5,21735623173.442482
sigma_min_W,Capacity,31.0,,5,1.5801582738610733e-09
condition_W,Capacity,31.0,,5,19996555448.265625
sigma_min_W,Capacity,32.0,,5,1.7750931236044523e-09
condition_W,Capacity,32.0,,5,18301569970.11186
sigma_min_W,Capacity,33.0,,5,1.9737776258414766e-09
condition_W,Capacity,33.0,,5,16906573009.290113
sigma_min_W,Capacity,34.0,,5,2.038340142974122e-09
condition_W,Capacity,34.0,,5,16801003989.657845
sigma_min_W,Capacity,35.0,,5,2.262563412745556e-09
condition_W,Capacity,35.0,,5,15520433012.958174
sigma_min_W,Capacity,36.0,,5,2.5629178817169128e-09
condition_W,Capacity,36.0,,5,14038357540.569036
sigma_min_W,Capacity,37.0,,5,2.7628253227985004e-09
condition_W,Capacity,37.0,,5,13332617877.17605
sigma_min_W,Capacity,38.0,,5,2.9658981513032e-09
condition_W,Capacity,38.0,,5,12706276606.041021
sigma_min_W,Capacity,39.0,,5,3.5743167759696752e-09
condition_W,Capacity,39.0,,5,10779259462.09969
sigma_min_W,Capacity,40.0,,5,4.208930100661744e-09
condition_W,Capacity,40.0,,5,9352586412.845453
sigma_min_W,Capacity,41.0,,5,4.676630255918586e-09
condition_W,Capacity,41.0,,5,8594479931.864414
sigma_min_W,Capacity,42.0,,5,5.137775781649402e-09
condition_W,Capacity,42.0,,5,7983013498.405104
sigma_min_W,Capacity,43.0,,5,5.350611191105899e-09
condition_W,Capacity,43.0,,5,7817700677.625693
sigma_min_W,Capacity,44.0,,5,5.448694266239349e-09
condition_W,Capacity,44.0,,5,7825173576.959938
sigma_min_W,Capacity,45.0,,5,5.479482512540071e-09
condition_W,Capacity,45.0,,5,7927280016.102458
sigma_min_W,Capacity,46.0,,5,5.4833858645937175e-09
condition_W,Capacity,46.0,,5,8066295953.733151
sigma_min_W,Capacity,47.0,,5,5.529177997902379e-09
condition_W,Capacity,47.0,,5,8141643982.912267
sigma_min_W,Capacity,48.0,,5,5.753003642802023e-09
condition_W,Capacity,48.0,,5,7960248685.012881
sigma_min_W,Capacity,49.0,,5,5.91929738151382e-09
condition_W,Capacity,49.0,,5,7866937983.313643
sigma_min_W,Capacity,50.0,,5,6.053952105949765e-09
condition_W,Capacity,50.0,,5,7818153962.458946
sigma_min_W,Capacity,51.0,,5,6.150679060884413e-09
condition_W,Capacity,51.0,,5,7818182171.848358
sigma_min_W,Capacity,52.0,,5,6.708611800555509e-09
condition_W,Capacity,52.0,,5,7279576824.245999
sigma_min_W,Capacity,53.0,,5,7.062439698948558e-09
condition_W,Capacity,53.0,,5,7019784404.429461
sigma_min_W,Capacity,54.0,,5,7.292807466736846e-09
condition_W,Capacity,54.0,,5,6898554705.465764
sigma_min_W,Capacity,55.0,,5,7.433320160014135e-09
condition_W,Capacity,55.0,,5,6865693081.297911
sigma_min_W,Capacity,56.0,,5,7.496115741935917e-09
condition_W,Capacity,56.0,,5,6903831754.2442665
sigma_min_W,Capacity,57.0,,5,7.51945867108938e-09
condition_W,Capacity,57.0,,5,6976701556.314619
sigma_min_W,Capacity,58.0,,5,7.525980072289629e-09
condition_W,Capacity,58.0,,5,7063820523.797211
sigma_min_W,Capacity,59.0,,5,7.528792580946393e-09
condition_W,Capacity,59.0,,5,7153247925.670096
sigma_min_W,Capacity,60.0,,5,7.54062299871406e-09
condition_W,Capacity,60.0,,5,7232879330.950796
sigma_min_W,Capacity,61.0,,5,7.565649618976207e-09
condition_W,Capacity,61.0,,5,7298430344.694102
sigma_min_W,Capacity,62.0,,5,7.568418910206785e-09
condition_W,Capacity,62.0,,5,7384110537.968612
sigma_min_W,Capacity,63.0,,5,7.575849067033818e-09
condition_W,Capacity,63.0,,5,7464025398.368157
sigma_min_W,Capacity,64.0,,5,7.575849263946467e-09
condition_W,Capacity,64.0,,5,7550072357.58876
sigma_min_W,Capacity,65.0,,5,7.605867099557764e-09
condition_W,Capacity,65.0,,5,7604861735.105332
sigma_min_W,Capacity,66.0,,5,7.627560879589454e-09
condition_W,Capacity,66.0,,5,7666433584.964124
sigma_min_W,Capacity,67.0,,5,7.640865713361039e-09
condition_W,Capacity,67.0,,5,7734989671.365957
sigma_min_W,Capacity,68.0,,5,7.65772500206356e-09
condition_W,Capacity,68.0,,5,7798531362.170859
sigma_min_W,Capacity,69.0,,5,7.68317595576966e-09
condition_W,Capacity,69.0,,5,7851854211.217749
sigma_min_W,Capacity,70.0,,5,7.716449694187986e-09
condition_W,Capacity,70.0,,5,7895672225.262282
sigma_min_W,Capacity,71.0,,5,7.725191022117214e-09
condition_W,Capacity,71.0,,5,7963175619.358186
sigma_min_W,Capacity,72.0,,5,7.725528974419487e-09
condition_W,Capacity,72.0,,5,8038105359.821689
sigma_min_W,Capacity,73.0,,5,7.726062807039356e-09
condition_W,Capacity,73.0,,5,8111666497.717838
sigma_min_W,Capacity,74.0,,5,7.77744071546835e-09
condition_W,Capacity,74.0,,5,8130557900.076003
sigma_min_W,Capacity,75.0,,5,7.885772516958851e-09
condition_W,Capacity,75.0,,5,8089198493.080696
sigma_min_W,Capacity,76.0,,5,8.049040672410439e-09
condition_W,Capacity,76.0,,5,7992875945.695019
sigma_min_W,Capacity,77.0,,5,8.263378964563969e-09
condition_W,Capacity,77.0,,5,7850441116.038498
sigma_min_W,Capacity,78.0,,5,8.499205781445723e-09
condition_W,Capacity,78.0,,5,7694603682.577969
sigma_min_W,Capacity,79.0,,5,8.656158829531497e-09
condition_W,Capacity,79.0,,5,7614862284.239766
sigma_min_W,Capacity,80.0,,5,8.777199113746804e-09
condition_W,Capacity,80.0,,5,7567724931.583978
sigma_min_W,Capacity,81.0,,5,8.980378646990891e-09
condition_W,Capacity,81.0,,5,7452041447.219291
sigma_min_W,Capacity,82.0,,5,9.18821088501807e-09
condition_W,Capacity,82.0,,5,7336759960.674265
sigma_min_W,Capacity,83.0,,5,9.33808616448781e-09
condition_W,Capacity,83.0,,5,7270448161.065584
sigma_min_W,Capacity,84.0,,5,9.514343638583349e-09
condition_W,Capacity,84.0,,5,7185282009.266177
sigma_min_W,Capacity,85.0,,5,9.685367849211187e-09
condition_W,Capacity,85.0,,5,7106083328.082347
sigma_min_W,Capacity,86.0,,5,9.865718993017807e-09
condition_W,Capacity,86.0,,5,7022025249.61995
sigma_min_W,Capacity,87.0,,5,1.0000584152469075e-08
condition_W,Capacity,87.0,,5,6971609692.855226
sigma_min_W,Capacity,88.0,,5,1.0137342647020892e-08
condition_W,Capacity,88.0,,5,6920337367.955264
sigma_min_W,Capacity,89.0,,5,1.0726002025679857e-08
condition_W,Capacity,89.0,,5,6580133642.264293
sigma_min_W,Capacity,90.0,,5,1.139336122569997e-08
condition_W,Capacity,90.0,,5,6231224138.0358715
sigma_min_W,Capacity,91.0,,5,1.2267506109038213e-08
condition_W,Capacity,91.0,,5,5820424953.922853
sigma_min_W,Capacity,92.0,,5,1.4458446372719914e-08
condition_W,Capacity,92.0,,5,4966036562.33267
sigma_min_W,Capacity,93.0,,5,1.860397247492612e-08
condition_W,Capacity,93.0,,5,3880459692.071042
sigma_min_W,Capacity,94.0,,5,2.256085260616413e-08
condition_W,Capacity,94.0,,5,3216837334.8127103
sigma_min_W,Capacity,95.0,,5,2.591157022771044e-08
condition_W,Capacity,95.0,,5,2815318485.04251
sigma_min_W,Capacity,96.0,,5,2.911201637098458e-08
condition_W,Capacity,96.0,,5,2518428371.0877814
sigma_min_W,Capacity,97.0,,5,3.26974889797306e-08
condition_W,Capacity,97.0,,5,2253283138.1828794
sigma_min_W,Capacity,98.0,,5,3.715227855504753e-08
condition_W,Capacity,98.0,,5,1992616886.7646103
sigma_min_W,Capacity,99.0,,5,4.180858298947352e-08
condition_W,Capacity,99.0,,5,1779009727.818775
sigma_min_W,Capacity,100.0,,5,4.8558129596043534e-08
condition_W,Capacity,100.0,,5,1538777380.6694415
sigma_min_W,Capacity,101.0,,5,6.163088646417433e-08
condition_W,Capacity,101.0,,5,1217858810.8539221
sigma_min_W,Capacity,102.0,,5,7.98128237942692e-08
condition_W,Capacity,102.0,,5,944603380.5601547
sigma_min_W,Capacity,103.0,,5,1.0417706583570427e-07
condition_W,Capacity,103.0,,5,726862879.6834025
sigma_min_W,Capacity,104.0,,5,1.3518718654055368e-07
condition_W,Capacity,104.0,,5,562567565.2699543
sigma_min_W,Capacity,105.0,,5,1.7322333186067743e-07
condition_W,Capacity,105.0,,5,440942053.5516864
sigma_min_W,Capacity,106.0,,5,2.0979776883473667e-07
condition_W,Capacity,106.0,,5,365652349.16083527
sigma_min_W,Capacity,107.0,,5,2.4712384841595733e-07
condition_W,Capacity,107.0,,5,311783060.6240378
sigma_min_W,Capacity,108.0,,5,2.8402831795508314e-07
condition_W,Capacity,108.0,,5,272482108.8349859
sigma_min_W,Capacity,109.0,,5,3.186079764784026e-07
condition_W,Capacity,109.0,,5,244024485.45960262
sigma_min_W,Capacity,110.0,,5,3.4899262475223656e-07
condition_W,Capacity,110.0,,5,223848068.62700203
sigma_min_W,Capacity,111.0,,5,3.7407484584062156e-07
condition_W,Capacity,111.0,,5,209904935.57451054
sigma_min_W,Capacity,112.0,,5,3.933900689696696e-07
condition_W,Capacity,112.0,,5,200706907.22778568
sigma_min_W,Capacity,113.0,,5,4.1236749594955813e-07
condition_W,Capacity,113.0,,5,192660150.29542017
sigma_min_W,Capacity,114.0,,5,4.3056590144891357e-07
condition_W,Capacity,114.0,,5,185847865.27473328
sigma_min_W,Capacity,115.0,,5,4.496577434773128e-07
condition_W,Capacity,115.0,,5,179515595.87865517
sigma_min_W,Capacity,116.0,,5,4.706840297465605e-07
condition_W,Capacity,116.0,,5,173426443.38247016
sigma_min_W,Capacity,117.0,,5,4.941318145410715e-07
condition_W,Capacity,117.0,,5,167758812.06650108
sigma_min_W,Capacity,118.0,,5,5.24631297065055e-07
condition_W,Capacity,118.0,,5,161659490.3526959
sigma_min_W,Capacity,119.0,,5,5.680245025835902e-07
condition_W,Capacity,119.0,,5,154815991.6008681
sigma_min_W,Capacity,120.0,,5,6.246608247914923e-07
condition_W,Capacity,120.0,,5,149104795.68307215
sigma_min_W,Resistance,0.0,,1,0.0
condition_W,Resistance,0.0,,1,inf
sigma_min_W,Resistance,1.0,,2,3.410983663040526e-18
condition_W,Resistance,1.0,,2,inf
sigma_min_W,Resistance,2.0,,3,2.0079299018200312e-17
condition_W,Resistance,2.0,,3,inf
sigma_min_W,Resistance,3.0,,4,5.5082694657668234e-17
condition_W,Resistance,3.0,,4,inf
sigma_min_W,Resistance,4.0,,5,4.773164392110865e-13
condition_W,Resistance,4.0,,5,14951963921056.725
sigma_min_W,Resistance,5.0,,5,1.2594799099768578e-11
condition_W,Resistance,5.0,,5,689087775953.3828
sigma_min_W,Resistance,6.0,,5,2.0256725301520694e-11
condition_W,Resistance,6.0,,5,506588520692.24304
sigma_min_W,Resistance,7.0,,5,7.218514213203577e-11
condition_W,Resistance,7.0,,5,164673212785.16586
sigma_min_W,Resistance,8.0,,5,1.7629490284811076e-10
condition_W,Resistance,8.0,,5,76891818110.96605
sigma_min_W,Resistance,9.0,,5,2.947506743575447e-10
condition_W,Resistance,9.0,,5,51803788343.07134
sigma_min_W,Resistance,10.0,,5,2.994107436136528e-10
condition_W,Resistance,10.0,,5,56875258417.02751
sigma_min_W,Resistance,11.0,,5,3.0444709199186315e-10
condition_W,Resistance,11.0,,5,61871905258.79662
sigma_min_W,Resistance,12.0,,5,3.913889804776605e-10
condition_W,Resistance,12.0,,5,52872678471.28653
sigma_min_W,Resistance,13.0,,5,7.235620739699938e-10
condition_W,Resistance,13.0,,5,31236974675.348507
sigma_min_W,Resistance,14.0,,5,8.020581441755174e-10
condition_W,Resistance,14.0,,5,30624392932.651764
sigma_min_W,Resistance,15.0,,5,8.192464821987661e-10
condition_W,Resistance,15.0,,5,32440993258.65502
sigma_min_W,Resistance,16.0,,5,8.31875524082115e-10
condition_W,Resistance,16.0,,5,34437338794.09563
sigma_min_W,Resistance,17.0,,5,8.336621326811124e-10
condition_W,Resistance,17.0,,5,36916217803.123764
sigma_min_W,Resistance,18.0,,5,8.39482608791806e-10
condition_W,Resistance,18.0,,5,39266254926.343376
sigma_min_W,Resistance,19.0,,5,1.285133572193803e-09
condition_W,Resistance,19.0,,5,27400484712.27141
sigma_min_W,Resistance,20.0,,5,2.3667633208870413e-09
condition_W,Resistance,20.0,,5,15856148615.29962
sigma_min_W,Resistance,21.0,,5,4.591633238361322e-09
condition_W,Resistance,21.0,,5,8691673579.349077
sigma_min_W,Resistance,22.0,,5,7.280957261192049e-09
condition_W,Resistance,22.0,,5,5817818397.991669
sigma_min_W,Resistance,23.0,,5,9.873925408482415e-09
condition_W,Resistance,23.0,,5,4545412066.931115
sigma_min_W,Resistance,24.0,,5,1.1672640747002092e-08
condition_W,Resistance,24.0,,5,4067358851.058167
sigma_min_W,Resistance,25.0,,5,1.2076876562671797e-08
condition_W,Resistance,25.0,,5,4152480029.160172
sigma_min_W,Resistance,26.0,,5,1.2248978777979846e-08
condition_W,Resistance,26.0,,5,4318724358.483714
sigma_min_W,Resistance,27.0,,5,1.2332130218513493e-08
condition_W,Resistance,27.0,,5,4519300853.539686
sigma_min_W,Resistance,28.0,,5,1.263416002954213e-08
condition_W,Resistance,28.0,,5,4642169599.718699
sigma_min_W,Resistance,29.0,,5,1.3447947458578936e-08
condition_W,Resistance,29.0,,5,4584721324.8090925
sigma_min_W,Resistance,30.0,,5,1.4820918457801051e-08
condition_W,Resistance,30.0,,5,4368921698.75058
sigma_min_W,Resistance,31.0,,5,1.6599105898815707e-08
condition_W,Resistance,31.0,,5,4093139359.2403316
sigma_min_W,Resistance,32.0,,5,1.886083908680305e-08
condition_W,Resistance,32.0,,5,3776723746.033684
sigma_min_W,Resistance,33.0,,5,2.155536366334819e-08
