case,label,stage,requested_cycle,actual_cycle,time_s,time_h,voltage_V,current_A
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,0.0,0.0,3.095694665019895,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,60.0,0.0166666666666666,3.1055415652047804,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,120.0,0.0333333333333333,3.1302133954293163,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,180.0,0.05,3.152260127230539,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,240.0,0.0666666666666666,3.172718195959369,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,300.0,0.0833333333333333,3.191982791681807,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,360.0,0.1,3.210208069107731,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,420.0,0.1166666666666666,3.2274661870664527,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,480.0,0.1333333333333333,3.2438042556723885,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,539.9999999999999,0.1499999999999999,3.25926297300615,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,600.0,0.1666666666666666,3.2738816904993944,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,660.0,0.1833333333333333,3.287700137730057,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,720.0,0.2,3.300757902497619,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,780.0,0.2166666666666666,3.3130939176120515,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,840.0,0.2333333333333333,3.324746103814346,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,900.0,0.25,3.335751071849622,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,960.0,0.2666666666666666,3.346143979486761,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,1020.0,0.2833333333333333,3.35595845385725,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,1079.9999999999998,0.2999999999999999,3.36522655095782,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,1140.0,0.3166666666666666,3.3739787573998603,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,1200.0,0.3333333333333333,3.38224401545666,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,1260.0,0.35,3.3900497634351527,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,1320.0,0.3666666666666666,3.397421985823037,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,1380.0,0.3833333333333333,3.4043852693624346,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,1440.0,0.4,3.4109628623815835,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,1500.0,0.4166666666666667,3.417176735534273,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,1560.0,0.4333333333333333,3.423047642666078,-0.25
low_SEI_high_plating,Low SEI / high plating,beginning,1,1,1620.0,0.45,3.4285951809251003,-0.25
